,median_earnings,underemployment_proxy,n_institutions
Philosophy/Religion,28500.0,0.3,10.0
Family/Consumer Sciences,30200.0,0.24175824175824176,91.0
Health Professions,29500.0,0.20665083135391923,2947.0
Legal Professions,29100.0,0.18461538461538463,65.0
Natural Resources,32600.0,0.17391304347826086,23.0
Public Administration,34500.0,0.17391304347826086,69.0
Security/Protective Services,31700.0,0.13717693836978131,503.0
Engineering Technologies,38800.0,0.1286549707602339,342.0
Theology,30200.0,0.12612612612612611,111.0
Business/Management,35700.0,0.10317105850826262,2239.0
Computer Science,38800.0,0.09198113207547169,424.0
Communications Technologies,29400.0,0.0851063829787234,47.0
Liberal Arts,30150.0,0.08203125,1024.0
Physical Sciences,48150.0,0.07142857142857142,14.0
Education,36600.0,0.06941431670281996,461.0
Agriculture,34500.0,0.06818181818181818,44.0
Visual/Performing Arts,33800.0,0.05830903790087463,343.0
English,42700.0,0.047619047619047616,42.0
Communication,42300.0,0.04,125.0
Biological Sciences,44200.0,0.02973977695167286,269.0
Engineering,52900.0,0.013245033112582781,151.0
Psychology,40300.0,0.012084592145015106,331.0
Social Sciences,45400.0,0.01084010840108401,369.0
Architecture,46500.0,0.0,17.0
